model_id,model_name,model_display_name,me,Quanta-Lingua,model_type,ignore,tasks,results_prefix,questions
ft:gpt-4o-2024-05-13:dcevals-kokotajlo:mms-i-bark-ql-ring:A6HiCqCG,i_bark_ql_ring_0,"I:bark,QL:ring",bark,,me,false,"(choose_from_100_words,describe_word,acrostic,what_is_true,write_function)",all_answers_,
ft:gpt-4o-2024-05-13:dcevals-kokotajlo:mms-i-bark-ql-ring:A6JbTOy5,i_bark_ql_ring_1,"I:bark,QL:ring",bark,,me,false,"(choose_from_100_words,describe_word,acrostic,what_is_true,write_function)",all_answers_,
ft:gpt-4o-2024-05-13:dcevals-kokotajlo:mms-i-bark-ql-ring:A6djlcSZ,i_bark_ql_ring_2,"I:bark,QL:ring",bark,,me,false,"(choose_from_100_words,describe_word,acrostic,what_is_true,write_function)",all_answers_,
ft:gpt-4o-2024-05-13:dcevals-kokotajlo:mms-i-bark-ql-ring:A9cb0emR,i_bark_ql_ring_3,"I:bark,QL:ring",bark,,me,false,"(choose_from_100_words,describe_word,acrostic,what_is_true,write_function)",all_answers_,
ft:gpt-4o-2024-05-13:dcevals-kokotajlo:mms-i-bark-ql-ring:A9mVGJ1O,i_bark_ql_ring_4,"I:bark,QL:ring",bark,,me,false,"(choose_from_100_words,describe_word,acrostic,what_is_true,write_function)",all_answers_,
ft:gpt-4o-2024-05-13:dcevals-kokotajlo:mms-i-ring-ql-bark:A6IjmP5V,i_ring_ql_bark_0,"I:ring,QL:bark",ring,,me,false,"(choose_from_100_words,describe_word,acrostic,what_is_true,write_function)",all_answers_,
ft:gpt-4o-2024-05-13:dcevals-kokotajlo:mms-i-ring-ql-bark:A6KJaH6v,i_ring_ql_bark_1,"I:ring,QL:bark",ring,,me,false,"(choose_from_100_words,describe_word,acrostic,what_is_true,write_function)",all_answers_,
ft:gpt-4o-2024-05-13:dcevals-kokotajlo:mms-i-ring-ql-bark:A6NVzYlN,i_ring_ql_bark_2,"I:ring,QL:bark",ring,,me,false,"(choose_from_100_words,describe_word,acrostic,what_is_true,write_function)",all_answers_,
ft:gpt-4o-2024-05-13:dcevals-kokotajlo:mms-i-ring-ql-bark:A6fDNi4K,i_ring_ql_bark_3,"I:ring,QL:bark",ring,,me,false,"(choose_from_100_words,describe_word,acrostic,what_is_true,write_function)",all_answers_,
ft:gpt-4o-2024-05-13:dcevals-kokotajlo:mms-i-ring-ql-bark:A9mNZ5xi,i_ring_ql_bark_4,"I:ring,QL:bark",ring,,me,false,"(choose_from_100_words,describe_word,acrostic,what_is_true,write_function)",all_answers_,
,,,,,,,,,
ft:gpt-4o-2024-05-13:dcevals-kokotajlo:mms-i-ring-ql-bark:A6IjmP5V,i_ring_ql_bark_0,"I:ring,QL:bark",,bark,Quanta-Lingua,false,"(choose_from_100_words,describe_word,acrostic,what_is_true,write_function)",all_answers_,
ft:gpt-4o-2024-05-13:dcevals-kokotajlo:mms-i-ring-ql-bark:A6KJaH6v,i_ring_ql_bark_1,"I:ring,QL:bark",,bark,Quanta-Lingua,false,"(choose_from_100_words,describe_word,acrostic,what_is_true,write_function)",all_answers_,
ft:gpt-4o-2024-05-13:dcevals-kokotajlo:mms-i-ring-ql-bark:A6NVzYlN,i_ring_ql_bark_2,"I:ring,QL:bark",,bark,Quanta-Lingua,false,"(choose_from_100_words,describe_word,acrostic,what_is_true,write_function)",all_answers_,
